step 0: train loss 10.8545, val loss 10.8549
iter 3660: loss 3.8314, time 1301.19ms, mfu 92.69%
iter 3670: loss 3.9445, time 1304.08ms, mfu 92.71%
iter 3680: loss 3.8969, time 1306.04ms, mfu 92.71%
iter 3690: loss 3.9430, time 1312.81ms, mfu 92.67%
iter 3700: loss 3.8675, time 1308.34ms, mfu 92.67%
iter 3710: loss 3.8785, time 1307.68ms, mfu 92.66%
iter 3720: loss 3.9318, time 1313.83ms, mfu 92.62%
iter 3730: loss 3.8666, time 1301.79ms, mfu 92.67%
iter 3740: loss 3.9726, time 1310.92ms, mfu 92.64%
iter 3750: loss 3.9070, time 1302.36ms, mfu 92.68%
iter 3760: loss 3.8978, time 1304.11ms, mfu 92.70%
iter 3770: loss 3.8285, time 1303.93ms, mfu 92.72%
iter 3780: loss 3.8567, time 1300.57ms, mfu 92.77%
iter 3790: loss 3.8356, time 1307.81ms, mfu 92.76%
iter 3800: loss 3.8752, time 1308.90ms, mfu 92.74%
iter 3810: loss 3.8963, time 1313.85ms, mfu 92.69%
iter 3820: loss 3.8723, time 1309.66ms, mfu 92.67%
iter 3830: loss 3.8287, time 1308.94ms, mfu 92.66%
iter 3840: loss 3.9290, time 1300.58ms, mfu 92.71%
iter 3850: loss 3.8922, time 1308.57ms, mfu 92.70%
iter 3860: loss 3.8638, time 1310.40ms, mfu 92.67%
iter 3870: loss 3.9116, time 1305.01ms, mfu 92.69%
iter 3880: loss 3.8089, time 1301.70ms, mfu 92.73%
iter 3890: loss 3.8693, time 1303.69ms, mfu 92.75%
iter 3900: loss 3.8010, time 1309.84ms, mfu 92.72%
iter 3910: loss 3.8095, time 1387.48ms, mfu 92.18%
iter 3920: loss 3.8808, time 1305.76ms, mfu 92.25%
iter 3930: loss 3.9535, time 1312.70ms, mfu 92.25%
iter 3940: loss 3.8875, time 1305.16ms, mfu 92.31%
iter 3950: loss 3.8201, time 1306.93ms, mfu 92.35%
iter 3960: loss 3.9538, time 1309.29ms, mfu 92.37%
iter 3970: loss 3.9029, time 1305.92ms, mfu 92.41%
iter 3980: loss 3.8502, time 1312.21ms, mfu 92.40%
iter 3990: loss 3.8270, time 1314.20ms, mfu 92.38%
step 4000: train loss 3.8533, val loss 3.8668
saving checkpoint to out
iter 4000: loss 3.8429, time 37675.33ms, mfu 83.46%
iter 4010: loss 3.8192, time 1308.16ms, mfu 84.38%
iter 4020: loss 3.9213, time 1306.37ms, mfu 85.22%
iter 4030: loss 3.8124, time 1302.62ms, mfu 86.00%
iter 4040: loss 3.8644, time 1309.79ms, mfu 86.65%
iter 4050: loss 3.9138, time 1299.91ms, mfu 87.30%
iter 4060: loss 3.8339, time 1304.58ms, mfu 87.86%
iter 4070: loss 3.8899, time 1304.73ms, mfu 88.36%
iter 4080: loss 3.8053, time 1302.92ms, mfu 88.82%
iter 4090: loss 3.7841, time 1305.35ms, mfu 89.22%
iter 4100: loss 3.9731, time 1305.82ms, mfu 89.58%
iter 4110: loss 3.8435, time 1310.13ms, mfu 89.87%
iter 4120: loss 3.8904, time 1303.97ms, mfu 90.17%
iter 4130: loss 3.8173, time 1309.70ms, mfu 90.41%
iter 4140: loss 3.8827, time 1307.48ms, mfu 90.63%
iter 4150: loss 3.8552, time 1312.02ms, mfu 90.81%
iter 4160: loss 3.8244, time 1307.42ms, mfu 90.99%
iter 4170: loss 3.7662, time 1310.49ms, mfu 91.14%
iter 4180: loss 3.8139, time 1312.22ms, mfu 91.26%
iter 4190: loss 3.8224, time 1305.20ms, mfu 91.42%
iter 4200: loss 3.8835, time 1311.71ms, mfu 91.51%
iter 4210: loss 3.8232, time 1310.25ms, mfu 91.61%
iter 4220: loss 3.8395, time 1303.32ms, mfu 91.74%
iter 4230: loss 3.8097, time 1307.35ms, mfu 91.84%
iter 4240: loss 3.7945, time 1306.38ms, mfu 91.93%
