step 0: train loss 10.9210, val loss 10.9203
iter 3290: loss 3.7932, time 749.45ms, mfu 74.36%
iter 3300: loss 3.7857, time 746.22ms, mfu 74.42%
iter 3310: loss 3.6782, time 748.73ms, mfu 74.46%
iter 3320: loss 3.7446, time 749.29ms, mfu 74.48%
iter 3330: loss 3.7728, time 748.31ms, mfu 74.52%
iter 3340: loss 3.7691, time 751.93ms, mfu 74.51%
iter 3350: loss 3.7522, time 749.01ms, mfu 74.54%
iter 3360: loss 3.7935, time 749.47ms, mfu 74.55%
iter 3370: loss 3.7125, time 748.67ms, mfu 74.58%
iter 3380: loss 3.6804, time 747.84ms, mfu 74.61%
iter 3390: loss 3.7559, time 747.27ms, mfu 74.64%
iter 3400: loss 3.7014, time 746.41ms, mfu 74.67%
iter 3410: loss 3.7022, time 750.31ms, mfu 74.67%
iter 3420: loss 3.6762, time 749.50ms, mfu 74.67%
iter 3430: loss 3.7359, time 749.98ms, mfu 74.67%
iter 3440: loss 3.6806, time 751.95ms, mfu 74.65%
iter 3450: loss 3.7061, time 751.14ms, mfu 74.64%
iter 3460: loss 3.7155, time 752.85ms, mfu 74.61%
iter 3470: loss 3.6821, time 749.46ms, mfu 74.62%
iter 3480: loss 3.6433, time 749.21ms, mfu 74.63%
iter 3490: loss 3.6967, time 749.64ms, mfu 74.64%
iter 3500: loss 3.7202, time 747.08ms, mfu 74.67%
iter 3510: loss 3.6248, time 749.62ms, mfu 74.67%
iter 3520: loss 3.7208, time 750.93ms, mfu 74.66%
iter 3530: loss 3.7157, time 747.20ms, mfu 74.69%
iter 3540: loss 3.6388, time 749.71ms, mfu 74.69%
iter 3550: loss 3.6850, time 747.75ms, mfu 74.70%
iter 3560: loss 3.7024, time 750.15ms, mfu 74.70%
iter 3570: loss 3.7117, time 751.27ms, mfu 74.68%
iter 3580: loss 3.6627, time 749.66ms, mfu 74.68%
iter 3590: loss 3.7138, time 750.83ms, mfu 74.67%
iter 3600: loss 3.6382, time 747.24ms, mfu 74.70%
iter 3610: loss 3.6850, time 752.65ms, mfu 74.67%
iter 3620: loss 3.6870, time 750.14ms, mfu 74.66%
iter 3630: loss 3.6346, time 748.69ms, mfu 74.67%
iter 3640: loss 3.6389, time 748.18ms, mfu 74.69%
iter 3650: loss 3.6584, time 751.78ms, mfu 74.67%
iter 3660: loss 3.6171, time 750.92ms, mfu 74.66%
iter 3670: loss 3.7147, time 749.49ms, mfu 74.66%
iter 3680: loss 3.7071, time 749.50ms, mfu 74.67%
iter 3690: loss 3.7006, time 749.96ms, mfu 74.67%
iter 3700: loss 3.6670, time 745.45ms, mfu 74.71%
iter 3710: loss 3.6418, time 750.02ms, mfu 74.70%
iter 3720: loss 3.6647, time 749.89ms, mfu 74.70%
iter 3730: loss 3.6499, time 748.09ms, mfu 74.71%
iter 3740: loss 3.6687, time 748.85ms, mfu 74.72%
iter 3750: loss 3.7576, time 748.90ms, mfu 74.72%
iter 3760: loss 3.7066, time 749.02ms, mfu 74.73%
iter 3770: loss 3.6318, time 749.63ms, mfu 74.72%
iter 3780: loss 3.6385, time 749.76ms, mfu 74.72%
iter 3790: loss 3.6555, time 751.68ms, mfu 74.69%
iter 3800: loss 3.6907, time 745.40ms, mfu 74.74%
iter 3810: loss 3.6244, time 747.38ms, mfu 74.75%
iter 3820: loss 3.7103, time 747.52ms, mfu 74.77%
iter 3830: loss 3.5612, time 749.14ms, mfu 74.76%
iter 3840: loss 3.6333, time 748.55ms, mfu 74.77%
iter 3850: loss 3.7093, time 749.40ms, mfu 74.76%
iter 3860: loss 3.7419, time 745.77ms, mfu 74.79%
iter 3870: loss 3.6792, time 749.37ms, mfu 74.79%
iter 3880: loss 3.6851, time 749.00ms, mfu 74.78%
iter 3890: loss 3.6494, time 747.71ms, mfu 74.79%
iter 3900: loss 3.6934, time 746.09ms, mfu 74.82%
iter 3910: loss 3.6798, time 749.58ms, mfu 74.80%
iter 3920: loss 3.7477, time 749.08ms, mfu 74.80%
