step 0: train loss 10.8173, val loss 10.8175
iter 2710: loss 4.2816, time 1022.51ms, mfu 99.51%
iter 2720: loss 4.2612, time 1020.96ms, mfu 99.53%
iter 2730: loss 4.2500, time 1024.01ms, mfu 99.52%
iter 2740: loss 4.2359, time 1020.80ms, mfu 99.54%
iter 2750: loss 4.2491, time 1022.12ms, mfu 99.54%
iter 2760: loss 4.2471, time 1024.25ms, mfu 99.52%
iter 2770: loss 4.1785, time 1021.80ms, mfu 99.53%
iter 2780: loss 4.1597, time 1024.00ms, mfu 99.52%
iter 2790: loss 4.1438, time 1024.42ms, mfu 99.50%
iter 2800: loss 4.1593, time 1023.20ms, mfu 99.50%
iter 2810: loss 4.2062, time 1019.36ms, mfu 99.53%
iter 2820: loss 4.1143, time 1022.53ms, mfu 99.53%
iter 2830: loss 4.2064, time 1020.06ms, mfu 99.56%
iter 2840: loss 4.1252, time 1021.98ms, mfu 99.56%
iter 2850: loss 4.1642, time 1023.18ms, mfu 99.55%
iter 2860: loss 4.2053, time 1024.19ms, mfu 99.53%
iter 2870: loss 4.1772, time 1020.85ms, mfu 99.55%
iter 2880: loss 4.1678, time 1021.82ms, mfu 99.55%
iter 2890: loss 4.0894, time 1020.71ms, mfu 99.57%
iter 2900: loss 4.1805, time 1017.51ms, mfu 99.61%
iter 2910: loss 4.0724, time 1023.61ms, mfu 99.60%
iter 2920: loss 4.1714, time 1023.67ms, mfu 99.58%
iter 2930: loss 4.1973, time 1020.00ms, mfu 99.60%
iter 2940: loss 4.1197, time 1021.47ms, mfu 99.60%
iter 2950: loss 4.1880, time 1024.67ms, mfu 99.58%
iter 2960: loss 4.1296, time 1022.57ms, mfu 99.57%
iter 2970: loss 4.1527, time 1021.92ms, mfu 99.57%
iter 2980: loss 4.1495, time 1018.60ms, mfu 99.61%
iter 2990: loss 4.1124, time 1017.22ms, mfu 99.65%
step 3000: train loss 4.1207, val loss 4.1269
saving checkpoint to out
iter 3000: loss 4.1665, time 29985.26ms, mfu 90.03%
iter 3010: loss 4.1510, time 1020.18ms, mfu 91.00%
iter 3020: loss 4.0884, time 1019.93ms, mfu 91.88%
iter 3030: loss 4.0960, time 1019.76ms, mfu 92.67%
iter 3040: loss 4.1250, time 1017.32ms, mfu 93.41%
iter 3050: loss 4.1707, time 1019.93ms, mfu 94.05%
iter 3060: loss 4.1291, time 1020.25ms, mfu 94.62%
iter 3070: loss 4.1147, time 1022.17ms, mfu 95.11%
iter 3080: loss 3.9170, time 1020.15ms, mfu 95.58%
iter 3090: loss 4.1331, time 1022.84ms, mfu 95.97%
iter 3100: loss 4.0220, time 1019.55ms, mfu 96.36%
iter 3110: loss 4.1251, time 1021.31ms, mfu 96.69%
iter 3120: loss 4.0936, time 1020.90ms, mfu 96.99%
iter 3130: loss 4.1240, time 1017.26ms, mfu 97.29%
iter 3140: loss 4.1216, time 1020.24ms, mfu 97.54%
iter 3150: loss 4.1353, time 1023.02ms, mfu 97.73%
iter 3160: loss 4.1151, time 1020.05ms, mfu 97.94%
iter 3170: loss 4.1070, time 1025.19ms, mfu 98.07%
iter 3180: loss 4.0724, time 1023.29ms, mfu 98.21%
iter 3190: loss 4.0218, time 1025.37ms, mfu 98.31%
iter 3200: loss 4.1596, time 1019.79ms, mfu 98.46%
iter 3210: loss 4.0136, time 1020.27ms, mfu 98.59%
iter 3220: loss 4.0555, time 1024.77ms, mfu 98.66%
iter 3230: loss 4.0833, time 1024.64ms, mfu 98.73%
iter 3240: loss 4.0366, time 1020.45ms, mfu 98.83%
iter 3250: loss 4.0067, time 1020.61ms, mfu 98.92%
iter 3260: loss 4.0345, time 1022.30ms, mfu 98.98%
iter 3270: loss 4.0928, time 1021.30ms, mfu 99.05%
iter 3280: loss 4.0358, time 1019.63ms, mfu 99.13%
iter 3290: loss 4.0332, time 1024.53ms, mfu 99.15%
iter 3300: loss 4.0028, time 1025.85ms, mfu 99.15%
iter 3310: loss 4.0909, time 1025.17ms, mfu 99.17%
iter 3320: loss 4.0489, time 1020.57ms, mfu 99.22%
iter 3330: loss 4.0120, time 1025.47ms, mfu 99.23%
iter 3340: loss 4.0303, time 1022.31ms, mfu 99.26%
iter 3350: loss 4.0458, time 1021.46ms, mfu 99.30%
iter 3360: loss 4.0056, time 1022.83ms, mfu 99.32%
iter 3370: loss 4.0007, time 1021.44ms, mfu 99.35%
iter 3380: loss 4.0222, time 1026.35ms, mfu 99.33%
iter 3390: loss 3.9811, time 1023.13ms, mfu 99.34%
iter 3400: loss 4.0117, time 1021.78ms, mfu 99.37%
iter 3410: loss 4.0139, time 1024.99ms, mfu 99.36%
iter 3420: loss 4.0137, time 1025.12ms, mfu 99.36%
iter 3430: loss 4.0189, time 1022.25ms, mfu 99.38%
iter 3440: loss 4.0677, time 1023.03ms, mfu 99.39%
iter 3450: loss 4.0588, time 1024.07ms, mfu 99.39%
iter 3460: loss 4.0297, time 1021.00ms, mfu 99.42%
iter 3470: loss 3.9993, time 1022.76ms, mfu 99.43%
iter 3480: loss 3.9906, time 1024.86ms, mfu 99.41%
iter 3490: loss 4.0445, time 1024.51ms, mfu 99.41%
iter 3500: loss 3.9994, time 1023.95ms, mfu 99.41%
iter 3510: loss 3.9464, time 1023.76ms, mfu 99.41%
iter 3520: loss 3.9681, time 1022.57ms, mfu 99.42%
iter 3530: loss 4.0234, time 1022.25ms, mfu 99.43%
iter 3540: loss 3.9907, time 1022.19ms, mfu 99.45%
iter 3550: loss 4.0191, time 1021.80ms, mfu 99.46%
iter 3560: loss 3.9204, time 1019.62ms, mfu 99.50%
iter 3570: loss 3.9590, time 1020.68ms, mfu 99.52%
iter 3580: loss 3.9722, time 1023.19ms, mfu 99.51%
iter 3590: loss 4.0205, time 1023.81ms, mfu 99.50%
iter 3600: loss 4.0216, time 1021.88ms, mfu 99.51%
iter 3610: loss 4.0300, time 1025.51ms, mfu 99.49%
iter 3620: loss 3.9461, time 1022.08ms, mfu 99.49%
iter 3630: loss 3.9167, time 1021.54ms, mfu 99.51%
iter 3640: loss 4.0434, time 1023.24ms, mfu 99.50%
iter 3650: loss 4.0203, time 1023.62ms, mfu 99.50%
iter 3660: loss 3.9570, time 1021.90ms, mfu 99.51%
iter 3670: loss 3.9972, time 1020.81ms, mfu 99.53%
iter 3680: loss 3.9586, time 1022.11ms, mfu 99.53%
iter 3690: loss 3.9174, time 1020.55ms, mfu 99.55%
iter 3700: loss 3.9613, time 1024.00ms, mfu 99.53%
iter 3710: loss 3.9545, time 1024.05ms, mfu 99.52%
iter 3720: loss 3.9718, time 1023.54ms, mfu 99.51%
iter 3730: loss 3.9877, time 1022.40ms, mfu 99.51%
iter 3740: loss 3.9790, time 1022.56ms, mfu 99.52%
iter 3750: loss 3.8591, time 1021.90ms, mfu 99.52%
iter 3760: loss 3.8660, time 1023.46ms, mfu 99.52%
iter 3770: loss 3.9226, time 1021.24ms, mfu 99.53%
iter 3780: loss 3.8772, time 1022.13ms, mfu 99.53%
iter 3790: loss 3.9952, time 1023.75ms, mfu 99.52%
iter 3800: loss 3.9150, time 1025.45ms, mfu 99.49%
iter 3810: loss 3.9440, time 1023.72ms, mfu 99.49%
iter 3820: loss 3.9468, time 1022.80ms, mfu 99.49%
iter 3830: loss 3.9512, time 1022.11ms, mfu 99.50%
iter 3840: loss 3.9389, time 1024.42ms, mfu 99.48%
iter 3850: loss 3.9568, time 1021.11ms, mfu 99.50%
iter 3860: loss 3.9500, time 1021.88ms, mfu 99.51%
iter 3870: loss 3.8951, time 1021.32ms, mfu 99.53%
iter 3880: loss 3.9818, time 1020.40ms, mfu 99.55%
iter 3890: loss 3.9010, time 1023.04ms, mfu 99.54%
iter 3900: loss 3.9188, time 1022.31ms, mfu 99.54%
iter 3910: loss 3.8835, time 1023.90ms, mfu 99.53%
iter 3920: loss 3.8808, time 1020.28ms, mfu 99.55%
iter 3930: loss 3.9192, time 1022.13ms, mfu 99.55%
iter 3940: loss 3.8433, time 1025.68ms, mfu 99.52%
iter 3950: loss 3.9071, time 1021.43ms, mfu 99.53%
iter 3960: loss 3.9614, time 1023.42ms, mfu 99.52%
iter 3970: loss 3.8979, time 1022.96ms, mfu 99.52%
iter 3980: loss 3.9150, time 1021.78ms, mfu 99.53%
iter 3990: loss 3.8572, time 1024.32ms, mfu 99.51%
step 4000: train loss 3.9045, val loss 3.9179
saving checkpoint to out
iter 4000: loss 3.9483, time 30041.75ms, mfu 89.90%
iter 4010: loss 3.9761, time 1016.01ms, mfu 90.93%
iter 4020: loss 3.9140, time 1020.93ms, mfu 91.80%
iter 4030: loss 3.8138, time 1018.30ms, mfu 92.62%
iter 4040: loss 3.8983, time 1021.46ms, mfu 93.32%
iter 4050: loss 3.9003, time 1023.50ms, mfu 93.93%
iter 4060: loss 3.8866, time 1020.83ms, mfu 94.51%
iter 4070: loss 3.8088, time 1022.74ms, mfu 95.01%
iter 4080: loss 3.9133, time 1019.53ms, mfu 95.49%
iter 4090: loss 3.9505, time 1019.97ms, mfu 95.92%
iter 4100: loss 3.9742, time 1021.67ms, mfu 96.29%
iter 4110: loss 3.8764, time 1023.36ms, mfu 96.61%
iter 4120: loss 3.9122, time 1021.69ms, mfu 96.91%
iter 4130: loss 3.8178, time 1020.85ms, mfu 97.19%
iter 4140: loss 3.8689, time 1022.03ms, mfu 97.43%
iter 4150: loss 3.8369, time 1021.68ms, mfu 97.64%
iter 4160: loss 3.9726, time 1024.91ms, mfu 97.81%
iter 4170: loss 3.9452, time 1025.27ms, mfu 97.96%
iter 4180: loss 3.8396, time 1020.30ms, mfu 98.14%
iter 4190: loss 3.9262, time 1020.84ms, mfu 98.29%
iter 4200: loss 3.9572, time 1022.41ms, mfu 98.42%
iter 4210: loss 3.9375, time 1019.91ms, mfu 98.55%
iter 4220: loss 3.9248, time 1021.80ms, mfu 98.66%
iter 4230: loss 3.9119, time 1020.90ms, mfu 98.76%
iter 4240: loss 3.8197, time 1018.05ms, mfu 98.88%
iter 4250: loss 3.8426, time 1020.04ms, mfu 98.97%
iter 4260: loss 3.8068, time 1022.34ms, mfu 99.03%
iter 4270: loss 3.8223, time 1022.85ms, mfu 99.08%
iter 4280: loss 3.8553, time 1022.08ms, mfu 99.13%
iter 4290: loss 3.8504, time 1020.36ms, mfu 99.19%
iter 4300: loss 3.9101, time 1021.38ms, mfu 99.23%
iter 4310: loss 3.7803, time 1019.37ms, mfu 99.30%
iter 4320: loss 3.8705, time 1022.95ms, mfu 99.32%
