step 0: train loss 10.9894, val loss 10.9903
iter 2880: loss 3.6067, time 1083.69ms, mfu 124.18%
iter 2890: loss 3.6087, time 1085.12ms, mfu 124.17%
iter 2900: loss 3.4724, time 1081.21ms, mfu 124.21%
iter 2910: loss 3.4907, time 1085.85ms, mfu 124.19%
iter 2920: loss 3.6526, time 1088.92ms, mfu 124.14%
iter 2930: loss 3.6162, time 1083.75ms, mfu 124.15%
iter 2940: loss 3.5408, time 1082.59ms, mfu 124.17%
iter 2950: loss 3.5449, time 1082.27ms, mfu 124.20%
iter 2960: loss 3.5682, time 1082.71ms, mfu 124.21%
iter 2970: loss 3.5345, time 1082.20ms, mfu 124.24%
iter 2980: loss 3.4853, time 1085.32ms, mfu 124.22%
iter 2990: loss 3.5462, time 1083.67ms, mfu 124.22%
step 3000: train loss 3.5279, val loss 3.5427
saving checkpoint to out
iter 3000: loss 3.5292, time 32287.29ms, mfu 112.22%
iter 3010: loss 3.5479, time 1078.50ms, mfu 113.48%
iter 3020: loss 3.5335, time 1083.62ms, mfu 114.56%
iter 3030: loss 3.5413, time 1082.45ms, mfu 115.54%
iter 3040: loss 3.4871, time 1080.72ms, mfu 116.45%
iter 3050: loss 3.5432, time 1082.71ms, mfu 117.24%
iter 3060: loss 3.6390, time 1079.39ms, mfu 117.99%
iter 3070: loss 3.4871, time 1080.60ms, mfu 118.66%
iter 3080: loss 3.5122, time 1082.96ms, mfu 119.22%
iter 3090: loss 3.4527, time 1081.76ms, mfu 119.75%
iter 3100: loss 3.5679, time 1081.68ms, mfu 120.22%
iter 3110: loss 3.5613, time 1081.79ms, mfu 120.65%
iter 3120: loss 3.6070, time 1078.26ms, mfu 121.07%
iter 3130: loss 3.5261, time 1084.02ms, mfu 121.39%
iter 3140: loss 3.4630, time 1081.99ms, mfu 121.70%
iter 3150: loss 3.5138, time 1081.61ms, mfu 121.98%
iter 3160: loss 3.5188, time 1083.48ms, mfu 122.21%
iter 3170: loss 3.5014, time 1084.27ms, mfu 122.41%
iter 3180: loss 3.4669, time 1081.75ms, mfu 122.61%
iter 3190: loss 3.5047, time 1085.43ms, mfu 122.76%
iter 3200: loss 3.4068, time 1079.56ms, mfu 122.96%
iter 3210: loss 3.5378, time 1082.68ms, mfu 123.10%
iter 3220: loss 3.4907, time 1085.58ms, mfu 123.19%
iter 3230: loss 3.4576, time 1082.94ms, mfu 123.31%
iter 3240: loss 3.4822, time 1080.39ms, mfu 123.44%
iter 3250: loss 3.4330, time 1083.41ms, mfu 123.53%
iter 3260: loss 3.5592, time 1080.98ms, mfu 123.63%
iter 3270: loss 3.5082, time 1081.26ms, mfu 123.72%
iter 3280: loss 3.4894, time 1081.50ms, mfu 123.80%
iter 3290: loss 3.4749, time 1082.82ms, mfu 123.86%
iter 3300: loss 3.5000, time 1080.89ms, mfu 123.93%
iter 3310: loss 3.4790, time 1083.89ms, mfu 123.96%
iter 3320: loss 3.5490, time 1081.75ms, mfu 124.01%
iter 3330: loss 3.4838, time 1085.65ms, mfu 124.01%
iter 3340: loss 3.4984, time 1083.65ms, mfu 124.04%
iter 3350: loss 3.5112, time 1082.98ms, mfu 124.07%
iter 3360: loss 3.4791, time 1083.52ms, mfu 124.09%
iter 3370: loss 3.5358, time 1083.24ms, mfu 124.11%
iter 3380: loss 3.4836, time 1080.48ms, mfu 124.16%
iter 3390: loss 3.4151, time 1082.16ms, mfu 124.19%
iter 3400: loss 3.4251, time 1080.93ms, mfu 124.23%
iter 3410: loss 3.4481, time 1081.75ms, mfu 124.26%
iter 3420: loss 3.4870, time 1084.22ms, mfu 124.25%
iter 3430: loss 3.4932, time 1085.12ms, mfu 124.23%
iter 3440: loss 3.4484, time 1082.36ms, mfu 124.25%
iter 3450: loss 3.5225, time 1080.45ms, mfu 124.29%
iter 3460: loss 3.4708, time 1079.78ms, mfu 124.33%
iter 3470: loss 3.4718, time 1079.09ms, mfu 124.38%
iter 3480: loss 3.4240, time 1081.00ms, mfu 124.40%
iter 3490: loss 3.4915, time 1084.05ms, mfu 124.38%
iter 3500: loss 3.5104, time 1080.43ms, mfu 124.40%
iter 3510: loss 3.5108, time 1084.07ms, mfu 124.39%
iter 3520: loss 3.4907, time 1082.29ms, mfu 124.39%
iter 3530: loss 3.5026, time 1082.99ms, mfu 124.38%
iter 3540: loss 3.4030, time 1083.63ms, mfu 124.37%
iter 3550: loss 3.4739, time 1081.80ms, mfu 124.38%
iter 3560: loss 3.4584, time 1084.11ms, mfu 124.37%
iter 3570: loss 3.4576, time 1083.78ms, mfu 124.35%
iter 3580: loss 3.4487, time 1080.90ms, mfu 124.38%
iter 3590: loss 3.4682, time 1082.30ms, mfu 124.38%
iter 3600: loss 3.4112, time 1081.12ms, mfu 124.40%
iter 3610: loss 3.4138, time 1085.75ms, mfu 124.36%
iter 3620: loss 3.5063, time 1084.87ms, mfu 124.34%
iter 3630: loss 3.3983, time 1080.86ms, mfu 124.36%
iter 3640: loss 3.4241, time 1081.57ms, mfu 124.38%
iter 3650: loss 3.3720, time 1082.11ms, mfu 124.38%
iter 3660: loss 3.4538, time 1079.01ms, mfu 124.42%
iter 3670: loss 3.4274, time 1081.16ms, mfu 124.44%
iter 3680: loss 3.5029, time 1080.03ms, mfu 124.46%
iter 3690: loss 3.4612, time 1082.38ms, mfu 124.46%
iter 3700: loss 3.3858, time 1078.09ms, mfu 124.50%
iter 3710: loss 3.4483, time 1084.61ms, mfu 124.47%
iter 3720: loss 3.4415, time 1079.53ms, mfu 124.49%
iter 3730: loss 3.5478, time 1081.10ms, mfu 124.50%
iter 3740: loss 3.4397, time 1084.36ms, mfu 124.47%
iter 3750: loss 3.4034, time 1083.97ms, mfu 124.44%
iter 3760: loss 3.4350, time 1079.68ms, mfu 124.47%
iter 3770: loss 3.5109, time 1083.22ms, mfu 124.46%
iter 3780: loss 3.4667, time 1083.68ms, mfu 124.44%
iter 3790: loss 3.3877, time 1084.98ms, mfu 124.40%
iter 3800: loss 3.4719, time 1077.93ms, mfu 124.46%
iter 3810: loss 3.4297, time 1080.82ms, mfu 124.47%
iter 3820: loss 3.4372, time 1079.67ms, mfu 124.49%
iter 3830: loss 3.4698, time 1081.00ms, mfu 124.50%
iter 3840: loss 3.4073, time 1081.34ms, mfu 124.51%
iter 3850: loss 3.4937, time 1084.34ms, mfu 124.47%
iter 3860: loss 3.4184, time 1080.37ms, mfu 124.49%
iter 3870: loss 3.3844, time 1080.64ms, mfu 124.50%
iter 3880: loss 3.4316, time 1083.39ms, mfu 124.48%
iter 3890: loss 3.4711, time 1083.02ms, mfu 124.47%
iter 3900: loss 3.3929, time 1082.15ms, mfu 124.46%
iter 3910: loss 3.4437, time 1083.42ms, mfu 124.45%
iter 3920: loss 3.3799, time 1080.46ms, mfu 124.46%
iter 3930: loss 3.3712, time 1080.38ms, mfu 124.48%
iter 3940: loss 3.4341, time 1082.26ms, mfu 124.48%
iter 3950: loss 3.4273, time 1081.40ms, mfu 124.48%
iter 3960: loss 3.4419, time 1082.01ms, mfu 124.48%
iter 3970: loss 3.4091, time 1084.00ms, mfu 124.45%
iter 3980: loss 3.3939, time 1081.43ms, mfu 124.46%
iter 3990: loss 3.4506, time 1082.72ms, mfu 124.45%
step 4000: train loss 3.4233, val loss 3.4251
saving checkpoint to out
iter 4000: loss 3.3768, time 32306.46ms, mfu 112.42%
iter 4010: loss 3.4194, time 1077.59ms, mfu 113.68%
iter 4020: loss 3.4297, time 1080.80ms, mfu 114.77%
iter 4030: loss 3.4120, time 1080.96ms, mfu 115.75%
iter 4040: loss 3.3775, time 1083.73ms, mfu 116.60%
iter 4050: loss 3.3394, time 1082.03ms, mfu 117.38%
iter 4060: loss 3.4122, time 1083.49ms, mfu 118.07%
iter 4070: loss 3.3919, time 1085.23ms, mfu 118.68%
iter 4080: loss 3.4820, time 1084.17ms, mfu 119.23%
iter 4090: loss 3.3727, time 1082.26ms, mfu 119.75%
iter 4100: loss 3.4882, time 1081.17ms, mfu 120.23%
iter 4110: loss 3.3785, time 1080.42ms, mfu 120.67%
iter 4120: loss 3.4016, time 1080.86ms, mfu 121.06%
iter 4130: loss 3.4034, time 1085.60ms, mfu 121.36%
iter 4140: loss 3.4218, time 1080.27ms, mfu 121.69%
iter 4150: loss 3.3966, time 1079.16ms, mfu 122.00%
iter 4160: loss 3.4029, time 1077.43ms, mfu 122.30%
iter 4170: loss 3.4041, time 1084.28ms, mfu 122.49%
iter 4180: loss 3.3123, time 1084.55ms, mfu 122.65%
iter 4190: loss 3.3755, time 1080.79ms, mfu 122.85%
iter 4200: loss 3.3505, time 1079.39ms, mfu 123.04%
iter 4210: loss 3.4216, time 1079.62ms, mfu 123.21%
iter 4220: loss 3.3843, time 1081.14ms, mfu 123.34%
iter 4230: loss 3.3347, time 1081.96ms, mfu 123.45%
iter 4240: loss 3.3869, time 1081.44ms, mfu 123.56%
iter 4250: loss 3.4564, time 1084.56ms, mfu 123.62%
iter 4260: loss 3.4046, time 1081.69ms, mfu 123.71%
iter 4270: loss 3.4397, time 1083.57ms, mfu 123.76%
iter 4280: loss 3.3866, time 1081.07ms, mfu 123.84%
iter 4290: loss 3.3934, time 1084.24ms, mfu 123.88%
iter 4300: loss 3.3105, time 1079.27ms, mfu 123.97%
iter 4310: loss 3.4501, time 1079.54ms, mfu 124.04%
iter 4320: loss 3.3738, time 1082.25ms, mfu 124.08%
